Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Milan,9,2025-11-08,Parma,A,D,2,2,1,0.0,1.0,10.0
Napoli,1,2025-08-30,Cagliari,H,W,1,0,3,3.0,0.0,0.0
Napoli,2,2025-09-13,Fiorentina,A,W,1,3,3,3.0,0.0,0.0
Napoli,3,2025-09-28,Milan,A,L,2,1,0,3.0,-3.0,-3.0
Napoli,4,2025-10-05,Genoa,H,W,2,1,3,1.0,2.0,-1.0
Napoli,5,2025-10-18,Torino,A,L,1,0,0,3.0,-3.0,-4.0
Napoli,6,2025-10-25,Inter,H,W,3,1,3,1.0,2.0,-2.0
Napoli,7,2025-10-28,Lecce,A,W,0,1,3,3.0,0.0,-2.0
Napoli,8,2025-11-01,Como,H,D,0,0,1,3.0,-2.0,-4.0
Napoli,9,2025-11-09,Bologna,A,L,2,0,0,1.0,-1.0,-5.0
Parma,1,2025-08-24,Juventus,A,L,2,0,0,1.0,-1.0,-1.0
Parma,2,2025-08-30,Atalanta,H,D,1,1,1,0.0,1.0,0.0
Parma,3,2025-09-13,Cagliari,A,L,2,0,0,0.0,0.0,0.0
Parma,4,2025-09-29,Torino,H,W,2,1,3,1.0,2.0,2.0
Parma,5,2025-10-04,Lecce,H,L,0,1,0,0.0,0.0,2.0
Parma,6,2025-10-19,Genoa,A,D,0,0,1,0.0,1.0,3.0
Parma,7,2025-10-25,Como,H,D,0,0,1,0.0,1.0,4.0
Parma,8,2025-10-29,Roma,A,L,2,1,0,0.0,0.0,4.0
Parma,9,2025-11-02,Bologna,H,L,1,3,0,3.0,-3.0,1.0
Parma,10,2025-11-08,Milan,H,D,2,2,1,3.0,-2.0,-1.0
Roma,1,2025-08-23,Bologna,H,W,1,0,3,0.0,3.0,3.0
Roma,2,2025-09-14,Torino,H,L,0,1,0,3.0,-3.0,0.0
Roma,3,2025-09-21,Lazio,A,W,0,1,3,1.0,2.0,2.0
Roma,4,2025-09-28,Verona,H,W,2,0,3,3.0,0.0,2.0
Roma,5,2025-10-05,Fiorentina,A,W,1,2,3,0.0,3.0,5.0
Roma,6,2025-10-18,Inter,H,L,0,1,0,0.0,0.0,5.0
Roma,7,2025-10-29,Parma,H,W,2,1,3,3.0,0.0,5.0
Roma,8,2025-11-02,Milan,A,L,1,0,0,1.0,-1.0,4.0
Roma,9,2025-11-09,Udinese,H,W,2,0,3,3.0,0.0,4.0
Torino,1,2025-08-25,Inter,A,L,5,0,0,0.0,0.0,0.0
Torino,2,2025-08-31,Fiorentina,H,D,0,0,1,0.0,1.0,1.0
Torino,3,2025-09-14,Roma,A,W,0,1,3,0.0,3.0,4.0
Torino,4,2025-09-21,Atalanta,H,L,0,3,0,3.0,-3.0,1.0
Torino,5,2025-09-29,Parma,A,L,2,1,0,1.0,-1.0,0.0
Torino,6,2025-10-04,Lazio,A,D,3,3,1,1.0,0.0,0.0
Torino,7,2025-10-18,Napoli,H,W,1,0,3,0.0,3.0,3.0
Torino,8,2025-10-26,Genoa,H,W,2,1,3,1.0,2.0,5.0
Torino,9,2025-10-29,Bologna,A,D,0,0,1,0.0,1.0,6.0
Torino,10,2025-11-08,Juventus,A,D,0,0,1,0.0,1.0,7.0
Udinese,1,2025-08-25,Verona,H,D,1,1,1,0.0,1.0,1.0
Udinese,2,2025-08-31,Inter,A,W,1,2,3,0.0,3.0,4.0
Udinese,3,2025-09-20,Milan,H,L,0,3,0,0.0,0.0,4.0
Udinese,4,2025-10-05,Cagliari,H,D,1,1,1,3.0,-2.0,2.0
Udinese,5,2025-10-25,Lecce,H,W,3,2,3,3.0,0.0,2.0
Udinese,6,2025-10-29,Juventus,A,L,3,1,0,0.0,0.0,2.0
Udinese,7,2025-11-01,Atalanta,H,W,1,0,3,1.0,2.0,4.0
Udinese,8,2025-11-09,Roma,A,L,2,0,0,0.0,0.0,4.0
Verona,1,2025-08-25,Udinese,A,D,1,1,1,3.0,-2.0,-2.0
Verona,2,2025-08-31,Lazio,A,L,4,0,0,0.0,0.0,-2.0
Verona,3,2025-09-20,Juventus,H,D,1,1,1,0.0,1.0,-1.0
Verona,4,2025-09-28,Roma,A,L,2,0,0,0.0,0.0,-1.0
Verona,5,2025-10-26,Cagliari,H,D,2,2,1,0.0,1.0,0.0
Verona,6,2025-10-29,Como,A,L,3,1,0,0.0,0.0,0.0
Verona,7,2025-11-02,Inter,H,L,1,2,0,0.0,0.0,0.0
Verona,8,2025-11-08,Lecce,A,D,0,0,1,0.0,1.0,1.0
